income_group,target_pop,hs_constraints,vaccine_doses,vaccine,max_coverage,age_groups_covered,age_groups_covered_d3,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,vacc_per_week,ab_model_infection,period_s,t_period_l,t_d3,scenario,name,strategy
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,1,10,1,6,0.015,TRUE,250,365,240,1,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,1,10,1,6,0.015,TRUE,150,200,240,2,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,2,10,1,6,0.015,TRUE,250,365,240,3,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,2,10,1,6,0.015,TRUE,150,200,240,4,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,3,10,1,6,0.015,TRUE,250,365,240,5,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,3,10,1,6,0.015,TRUE,150,200,240,6,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,4,10,1,6,0.015,TRUE,250,365,240,7,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,4,10,1,6,0.015,TRUE,150,200,240,8,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,5,10,1,6,0.015,TRUE,250,365,240,9,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,5,10,1,6,0.015,TRUE,150,200,240,10,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,6,10,1,6,0.015,TRUE,250,365,240,11,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,6,10,1,6,0.015,TRUE,150,200,240,12,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,7,10,1,6,0.015,TRUE,250,365,240,13,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,7,10,1,6,0.015,TRUE,150,200,240,14,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,8,10,1,6,0.015,TRUE,250,365,240,15,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,8,10,1,6,0.015,TRUE,150,200,240,16,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,9,10,1,6,0.015,TRUE,250,365,240,17,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,9,10,1,6,0.015,TRUE,150,200,240,18,rq1_lmic_abmodel_1,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,10,10,1,6,0.015,TRUE,250,365,240,19,rq1_lmic_abmodel_1,realistic
