income_group,target_pop,hs_constraints,vaccine_doses,vaccine,max_coverage,age_groups_covered,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,vacc_per_week,ab_model_infection,period_s,t_period_l,scenario,name,strategy
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,1,10,1,6,0.015,TRUE,250,365,1,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,2,10,1,6,0.015,TRUE,250,365,2,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,3,10,1,6,0.015,TRUE,250,365,3,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,4,10,1,6,0.015,TRUE,250,365,4,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,5,10,1,6,0.015,TRUE,250,365,5,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,6,10,1,6,0.015,TRUE,250,365,6,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,7,10,1,6,0.015,TRUE,250,365,7,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,8,10,1,6,0.015,TRUE,250,365,8,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,9,10,1,6,0.015,TRUE,250,365,9,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,10,10,1,6,0.015,TRUE,250,365,10,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,11,10,1,6,0.015,TRUE,250,365,11,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,12,10,1,6,0.015,TRUE,250,365,12,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,13,10,1,6,0.015,TRUE,250,365,13,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,14,10,1,6,0.015,TRUE,250,365,14,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,15,10,1,6,0.015,TRUE,250,365,15,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,16,10,1,6,0.015,TRUE,250,365,16,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,17,10,1,6,0.015,TRUE,250,365,17,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,18,10,1,6,0.015,TRUE,250,365,18,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,19,10,1,6,0.015,TRUE,250,365,19,counter_lmic_abmodel,same_doses
LMIC,1000000,Present,2,Oxford-AstraZeneca,0,5,1/1/2021,0.5,20,10,1,6,0.015,TRUE,250,365,20,counter_lmic_abmodel,same_doses
