income_group,target_pop,hs_constraints,vaccine_doses,vaccine,max_coverage,age_groups_covered,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,vacc_per_week,scenario,name
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,1,10,1,6,0.015,1,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,2,10,1,6,0.015,2,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,3,10,1,6,0.015,3,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,4,10,1,6,0.015,4,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,5,10,1,6,0.015,5,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,6,10,1,6,0.015,6,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,7,10,1,6,0.015,7,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,8,10,1,6,0.015,8,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,9,10,1,6,0.015,9,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,10,10,1,6,0.015,10,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,11,10,1,6,0.015,11,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,12,10,1,6,0.015,12,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,13,10,1,6,0.015,13,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,14,10,1,6,0.015,14,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,15,10,1,6,0.015,15,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,16,10,1,6,0.015,16,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,17,10,1,6,0.015,17,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,18,10,1,6,0.015,18,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,19,10,1,6,0.015,19,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,5,1/1/2021,0.5,20,10,1,6,0.015,20,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,1/1/2021,0.5,1,10,1,6,0.015,21,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,1/1/2021,0.5,2,10,1,6,0.015,22,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,1/1/2021,0.5,3,10,1,6,0.015,23,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,1/1/2021,0.5,4,10,1,6,0.015,24,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,1/1/2021,0.5,5,10,1,6,0.015,25,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,1/1/2021,0.5,6,10,1,6,0.015,26,scenario6
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,1/1/2021,0.5,7,10,1,6,0.015,27,scenario6
