income_group,target_pop,hs_constraints,vaccine_doses,vaccine,max_coverage,age_groups_covered,age_groups_covered_d3,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,vacc_per_week,ab_model_infection,period_s,t_period_l,t_d3,scenario,name,strategy
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,1,10,1,6,0.015,FALSE,250,365,240,1,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,1,10,1,6,0.015,FALSE,250,365,180,2,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,1,10,1,6,0.015,FALSE,250,365,360,3,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,1,10,1,6,0.015,FALSE,150,200,240,4,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,1,10,1,6,0.008,FALSE,250,365,240,5,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,1,10,1,6,0.008,FALSE,150,200,240,6,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,2,10,1,6,0.015,FALSE,250,365,240,7,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,2,10,1,6,0.015,FALSE,250,365,180,8,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,2,10,1,6,0.015,FALSE,250,365,360,9,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,2,10,1,6,0.015,FALSE,150,200,240,10,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,2,10,1,6,0.008,FALSE,250,365,240,11,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,2,10,1,6,0.008,FALSE,150,200,240,12,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,3,10,1,6,0.015,FALSE,250,365,240,13,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,3,10,1,6,0.015,FALSE,250,365,180,14,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,3,10,1,6,0.015,FALSE,250,365,360,15,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,3,10,1,6,0.015,FALSE,150,200,240,16,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,3,10,1,6,0.008,FALSE,250,365,240,17,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,3,10,1,6,0.008,FALSE,150,200,240,18,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,4,10,1,6,0.015,FALSE,250,365,240,19,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,4,10,1,6,0.015,FALSE,250,365,180,20,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,4,10,1,6,0.015,FALSE,250,365,360,21,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,4,10,1,6,0.015,FALSE,150,200,240,22,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,4,10,1,6,0.008,FALSE,250,365,240,23,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,4,10,1,6,0.008,FALSE,150,200,240,24,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,5,10,1,6,0.015,FALSE,250,365,240,25,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,5,10,1,6,0.015,FALSE,250,365,180,26,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,5,10,1,6,0.015,FALSE,250,365,360,27,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,5,10,1,6,0.015,FALSE,150,200,240,28,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,5,10,1,6,0.008,FALSE,250,365,240,29,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,5,10,1,6,0.008,FALSE,150,200,240,30,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,6,10,1,6,0.015,FALSE,250,365,240,31,rq1_lmic,realistic
LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,9,1/1/2021,0.5,6,10,1,6,0.015,FALSE,250,365,180,32,rq1_lmic,realistic
