income_group,target_pop,hs_constraints,vaccine_doses,vaccine,max_coverage,age_groups_covered,age_groups_covered_d3,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,vacc_per_week,ab_model_infection,period_s,t_period_l,t_d3,scenario,name,strategy
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,250,365,180,1,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,250,365,180,2,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,250,365,180,3,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,250,365,180,4,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,250,365,180,5,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,250,365,180,6,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,250,365,180,7,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,250,365,180,8,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,250,365,180,9,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,250,365,180,10,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,250,365,180,11,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,250,365,180,12,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,250,365,180,13,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,250,365,180,14,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,250,365,180,15,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,250,365,180,16,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,250,365,180,17,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,250,365,180,18,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,250,365,180,19,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,250,365,180,20,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,9,1/1/2021,0.5,1,10,1,6,0.05,TRUE,250,365,180,21,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,9,1/1/2021,0.5,2,10,1,6,0.05,TRUE,250,365,180,22,rq1_hic_abmodel_age,realistic
HIC,1000000,Present,3,Pfizer,0.9,15,9,1/1/2021,0.5,3,10,1,6,0.05,TRUE,250,365,180,23,rq1_hic_abmodel_age,realistic
