income_group,target_pop,hs_constraints,vaccine_doses,vaccine,max_coverage,age_groups_covered,age_groups_covered_d3,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,vacc_per_week,ab_model_infection,period_s,t_period_l,t_d3,max_Rt,scenario,name,strategy
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,250,365,180,3,1,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,250,365,180,4,2,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,150,200,180,3,3,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,150,200,180,4,4,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,250,365,180,3,5,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,250,365,180,4,6,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,150,200,180,3,7,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,150,200,180,4,8,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,250,365,180,3,9,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,250,365,180,4,10,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,150,200,180,3,11,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,150,200,180,4,12,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,250,365,180,3,13,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,250,365,180,4,14,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,150,200,180,3,15,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,150,200,180,4,16,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,250,365,180,3,17,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,250,365,180,4,18,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,150,200,180,3,19,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,150,200,180,4,20,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,250,365,180,3,21,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,250,365,180,4,22,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,150,200,180,3,23,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,150,200,180,4,24,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,250,365,180,3,25,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,250,365,180,4,26,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,150,200,180,3,27,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,150,200,180,4,28,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,250,365,180,3,29,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,250,365,180,4,30,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,150,200,180,3,31,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,150,200,180,4,32,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,250,365,180,3,33,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,250,365,180,4,34,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,150,200,180,3,35,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,150,200,180,4,36,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,250,365,180,3,37,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,250,365,180,4,38,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,150,200,180,3,39,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,150,200,180,4,40,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,11,10,1,6,0.05,TRUE,250,365,180,3,41,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,11,10,1,6,0.05,TRUE,250,365,180,4,42,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,11,10,1,6,0.05,TRUE,150,200,180,3,43,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,11,10,1,6,0.05,TRUE,150,200,180,4,44,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,12,10,1,6,0.05,TRUE,250,365,180,3,45,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,12,10,1,6,0.05,TRUE,250,365,180,4,46,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,12,10,1,6,0.05,TRUE,150,200,180,3,47,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,12,10,1,6,0.05,TRUE,150,200,180,4,48,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,13,10,1,6,0.05,TRUE,250,365,180,3,49,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,13,10,1,6,0.05,TRUE,250,365,180,4,50,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,13,10,1,6,0.05,TRUE,150,200,180,3,51,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,13,10,1,6,0.05,TRUE,150,200,180,4,52,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,14,10,1,6,0.05,TRUE,250,365,180,3,53,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,14,10,1,6,0.05,TRUE,250,365,180,4,54,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,14,10,1,6,0.05,TRUE,150,200,180,3,55,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,14,10,1,6,0.05,TRUE,150,200,180,4,56,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,15,10,1,6,0.05,TRUE,250,365,180,3,57,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,15,10,1,6,0.05,TRUE,250,365,180,4,58,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,15,10,1,6,0.05,TRUE,150,200,180,3,59,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,15,10,1,6,0.05,TRUE,150,200,180,4,60,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,16,10,1,6,0.05,TRUE,250,365,180,3,61,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,16,10,1,6,0.05,TRUE,250,365,180,4,62,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,16,10,1,6,0.05,TRUE,150,200,180,3,63,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,16,10,1,6,0.05,TRUE,150,200,180,4,64,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,17,10,1,6,0.05,TRUE,250,365,180,3,65,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,17,10,1,6,0.05,TRUE,250,365,180,4,66,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,17,10,1,6,0.05,TRUE,150,200,180,3,67,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,17,10,1,6,0.05,TRUE,150,200,180,4,68,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,18,10,1,6,0.05,TRUE,250,365,180,3,69,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,18,10,1,6,0.05,TRUE,250,365,180,4,70,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,18,10,1,6,0.05,TRUE,150,200,180,3,71,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,18,10,1,6,0.05,TRUE,150,200,180,4,72,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,19,10,1,6,0.05,TRUE,250,365,180,3,73,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,19,10,1,6,0.05,TRUE,250,365,180,4,74,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,19,10,1,6,0.05,TRUE,150,200,180,3,75,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,19,10,1,6,0.05,TRUE,150,200,180,4,76,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,20,10,1,6,0.05,TRUE,250,365,180,3,77,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,20,10,1,6,0.05,TRUE,250,365,180,4,78,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,20,10,1,6,0.05,TRUE,150,200,180,3,79,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,15,5,1/1/2021,0.5,20,10,1,6,0.05,TRUE,150,200,180,4,80,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,250,365,180,3,81,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,250,365,180,4,82,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,150,200,180,3,83,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,1,10,1,6,0.05,TRUE,150,200,180,4,84,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,250,365,180,3,85,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,250,365,180,4,86,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,150,200,180,3,87,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,2,10,1,6,0.05,TRUE,150,200,180,4,88,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,250,365,180,3,89,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,250,365,180,4,90,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,150,200,180,3,91,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,3,10,1,6,0.05,TRUE,150,200,180,4,92,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,250,365,180,3,93,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,250,365,180,4,94,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,150,200,180,3,95,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,4,10,1,6,0.05,TRUE,150,200,180,4,96,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,250,365,180,3,97,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,250,365,180,4,98,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,150,200,180,3,99,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,5,10,1,6,0.05,TRUE,150,200,180,4,100,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,250,365,180,3,101,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,250,365,180,4,102,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,150,200,180,3,103,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,6,10,1,6,0.05,TRUE,150,200,180,4,104,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,250,365,180,3,105,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,250,365,180,4,106,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,150,200,180,3,107,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,7,10,1,6,0.05,TRUE,150,200,180,4,108,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,250,365,180,3,109,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,250,365,180,4,110,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,150,200,180,3,111,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,8,10,1,6,0.05,TRUE,150,200,180,4,112,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,250,365,180,3,113,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,250,365,180,4,114,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,150,200,180,3,115,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,9,10,1,6,0.05,TRUE,150,200,180,4,116,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,250,365,180,3,117,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,250,365,180,4,118,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,150,200,180,3,119,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,10,10,1,6,0.05,TRUE,150,200,180,4,120,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,11,10,1,6,0.05,TRUE,250,365,180,3,121,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,11,10,1,6,0.05,TRUE,250,365,180,4,122,rq1_hic_child_abmodel,realistic
HIC,1000000,Present,2,Pfizer,0.9,16,5,1/1/2021,0.5,11,10,1,6,0.05,TRUE,150,200,180,3,123,rq1_hic_child_abmodel,realistic
